algoritmo,n,repeticoes,tempo_total_s,tempo_medio_s,comparacoes,atribuicoes
binaria_recursiva,1000,1000000,1.800000000000e-02,1.800000000000e-08,31,10
binaria_recursiva,50000,1000000,3.000000000000e-02,3.000000000000e-08,49,16
binaria_recursiva,100000,1000000,3.100000000000e-02,3.100000000000e-08,52,17
binaria_recursiva,500000,1000000,3.400000000000e-02,3.400000000000e-08,58,19
binaria_recursiva,1000000,1000000,3.700000000000e-02,3.700000000000e-08,61,20
