algoritmo,n,repeticoes,tempo_total_s,tempo_medio_s,comparacoes,atribuicoes
binaria_iterativa,1000,1000000,1.300000000000e-02,1.300000000000e-08,31,22
binaria_iterativa,50000,1000000,2.300000000000e-02,2.300000000000e-08,49,34
binaria_iterativa,100000,1000000,2.500000000000e-02,2.500000000000e-08,52,36
binaria_iterativa,500000,1000000,2.800000000000e-02,2.800000000000e-08,58,40
binaria_iterativa,1000000,1000000,2.700000000000e-02,2.700000000000e-08,61,42
