algoritmo,n,repeticoes,tempo_total_s,tempo_medio_s,comparacoes,atribuicoes
busca_sequencial,1000,100000,4.500000000000e-02,4.500000000000e-07,2001,1001
busca_sequencial,50000,2000,4.500000000000e-02,2.250000000000e-05,100001,50001
busca_sequencial,100000,1000,4.400000000000e-02,4.400000000000e-05,200001,100001
busca_sequencial,500000,200,4.500000000000e-02,2.250000000000e-04,1000001,500001
busca_sequencial,1000000,100,4.400000000000e-02,4.400000000000e-04,2000001,1000001
